i	sum_f	sum_d	real	error_f	error_d
920000	0.0913119	0.0920001	0.092	0.00747884	-1.08697e-06
930000	0.0922805	0.0930001	0.093	0.00773632	-1.07529e-06
940000	0.0932491	0.0940001	0.094	0.00798832	-1.06385e-06
950000	0.0942177	0.0950001	0.095	0.00823502	-1.05265e-06
960000	0.0951862	0.0960001	0.096	0.00847658	-1.04168e-06
970000	0.0961548	0.0970001	0.097	0.00871316	-1.03095e-06
980000	0.0971234	0.0980001	0.098	0.0089449	-1.02043e-06
990000	0.098092	0.0990001	0.099	0.00917197	-1.01012e-06
1000000	0.0990606	0.1	0.1	0.0093945	-1.00002e-06
1010000	0.100029	0.101	0.101	0.00961262	-9.90118e-07
1020000	0.100998	0.102	0.102	0.00982646	-9.80411e-07
1030000	0.101966	0.103	0.103	0.0100361	-9.70893e-07
1040000	0.102935	0.104	0.104	0.0102418	-9.61557e-07
1050000	0.103903	0.105	0.105	0.0104435	-9.524e-07
1060000	0.104872	0.106	0.106	0.0106415	-9.43415e-07
1070000	0.105841	0.107	0.107	0.0108357	-9.34599e-07
1080000	0.106809	0.108	0.108	0.0110264	-9.25945e-07
1090000	0.107778	0.109	0.109	0.0112135	-9.1745e-07
1100000	0.108746	0.11	0.11	0.0113972	-9.0911e-07
1110000	0.109715	0.111	0.111	0.0115777	-9.0092e-07
1120000	0.110683	0.112	0.112	0.0117549	-8.92877e-07
1130000	0.111652	0.113	0.113	0.0119289	-8.84975e-07
1140000	0.112621	0.114	0.114	0.0120999	-8.77213e-07
1150000	0.113589	0.115	0.115	0.012268	-8.69585e-07
1160000	0.114558	0.116	0.116	0.0124331	-8.62089e-07
1170000	0.115526	0.117	0.117	0.0125954	-8.54721e-07
1180000	0.116495	0.118	0.118	0.012755	-8.47478e-07
1190000	0.117463	0.119	0.119	0.0129119	-8.40356e-07
1200000	0.118432	0.12	0.12	0.0130662	-8.33354e-07
1210000	0.119401	0.121	0.121	0.0132179	-8.26467e-07
1220000	0.120369	0.122	0.122	0.0133671	-8.19692e-07
1230000	0.121338	0.123	0.123	0.0135139	-8.13029e-07
1240000	0.122306	0.124	0.124	0.0136584	-8.06472e-07
1250000	0.123275	0.125	0.125	0.0138005	-8.00021e-07
1260000	0.124244	0.126	0.126	0.0139404	-7.93671e-07
1270000	0.125228	0.127	0.127	0.0139496	-7.87422e-07
1280000	0.126271	0.128	0.128	0.013504	-7.81271e-07
1290000	0.127315	0.129	0.129	0.0130654	-7.75215e-07
1300000	0.128358	0.13	0.13	0.0126335	-7.69252e-07
1310000	0.129401	0.131	0.131	0.0122082	-7.6338e-07
1320000	0.130444	0.132	0.132	0.0117893	-7.57597e-07
1330000	0.131487	0.133	0.133	0.0113767	-7.51901e-07
1340000	0.13253	0.134	0.134	0.0109703	-7.4629e-07
1350000	0.133573	0.135	0.135	0.01057	-7.40762e-07
1360000	0.134616	0.136	0.136	0.0101755	-7.35315e-07
1370000	0.135659	0.137	0.137	0.00978673	-7.29948e-07
1380000	0.136702	0.138	0.138	0.00940363	-7.24659e-07
1390000	0.137745	0.139	0.139	0.00902604	-7.19446e-07
1400000	0.138788	0.14	0.14	0.00865385	-7.14307e-07
1410000	0.139832	0.141	0.141	0.00828693	-7.09241e-07
1420000	0.140875	0.142	0.142	0.00792518	-7.04247e-07
1430000	0.141918	0.143	0.143	0.00756849	-6.99322e-07
1440000	0.142961	0.144	0.144	0.00721676	-6.94466e-07
1450000	0.144004	0.145	0.145	0.00686988	-6.89677e-07
1460000	0.145047	0.146	0.146	0.00652774	-6.84953e-07
1470000	0.14609	0.147	0.147	0.00619027	-6.80294e-07
1480000	0.147133	0.148	0.148	0.00585735	-6.75697e-07
1490000	0.148176	0.149	0.149	0.0055289	-6.71163e-07
1500000	0.149219	0.15	0.15	0.00520484	-6.66689e-07
1510000	0.150262	0.151	0.151	0.00488506	-6.62274e-07
1520000	0.151305	0.152	0.152	0.00456949	-6.57917e-07
1530000	0.152349	0.153	0.153	0.00425805	-6.53617e-07
1540000	0.153392	0.154	0.154	0.00395065	-6.49373e-07
1550000	0.154435	0.155	0.155	0.00364722	-6.45183e-07
1560000	0.155478	0.156	0.156	0.00334768	-6.41048e-07
1570000	0.156521	0.157	0.157	0.00305195	-6.36965e-07
1580000	0.157564	0.158	0.158	0.00275997	-6.32934e-07
1590000	0.158607	0.159	0.159	0.00247166	-6.28953e-07
1600000	0.15965	0.16	0.16	0.00218695	-6.25022e-07
1610000	0.160693	0.161	0.161	0.00190578	-6.2114e-07
1620000	0.161736	0.162	0.162	0.00162809	-6.17306e-07
1630000	0.162779	0.163	0.163	0.0013538	-6.13519e-07
1640000	0.163822	0.164	0.164	0.00108285	-6.09779e-07
1650000	0.164865	0.165	0.165	0.000815189	-6.06083e-07
1660000	0.165909	0.166	0.166	0.000550753	-6.02432e-07
1670000	0.166952	0.167	0.167	0.000289483	-5.98825e-07
1680000	0.167995	0.168	0.168	3.13237e-05	-5.95261e-07
1690000	0.169038	0.169	0.169	-0.000223781	-5.91739e-07
1700000	0.170081	0.17	0.17	-0.000475883	-5.88258e-07
1710000	0.171124	0.171	0.171	-0.000725038	-5.84818e-07
1720000	0.172167	0.172	0.172	-0.000971295	-5.81418e-07
1730000	0.17321	0.173	0.173	-0.00121471	-5.78057e-07
1740000	0.174253	0.174	0.174	-0.00145532	-5.74735e-07
1750000	0.175296	0.175	0.175	-0.00169318	-5.71451e-07
1760000	0.176339	0.176	0.176	-0.00192834	-5.68205e-07
1770000	0.177382	0.177	0.177	-0.00216084	-5.64995e-07
1780000	0.178426	0.178	0.178	-0.00239073	-5.61821e-07
1790000	0.179469	0.179	0.179	-0.00261805	-5.58682e-07
1800000	0.180512	0.18	0.18	-0.00284285	-5.55579e-07
1810000	0.181555	0.181	0.181	-0.00306516	-5.52509e-07
1820000	0.182598	0.182	0.182	-0.00328503	-5.49474e-07
1830000	0.183641	0.183	0.183	-0.0035025	-5.46471e-07
1840000	0.184684	0.184	0.184	-0.0037176	-5.43501e-07
1850000	0.185727	0.185	0.185	-0.00393038	-5.40564e-07
1860000	0.18677	0.186	0.186	-0.00414086	-5.37658e-07
1870000	0.187813	0.187	0.187	-0.0043491	-5.34783e-07
1880000	0.188856	0.188	0.188	-0.00455512	-5.31938e-07
1890000	0.189899	0.189	0.189	-0.00475897	-5.29124e-07
1900000	0.190943	0.19	0.19	-0.00496066	-5.26339e-07
1910000	0.191986	0.191	0.191	-0.00516025	-5.23584e-07
1920000	0.193029	0.192	0.192	-0.00535775	-5.20857e-07
1930000	0.194072	0.193	0.193	-0.00555321	-5.18158e-07
1940000	0.195115	0.194	0.194	-0.00574665	-5.15487e-07
1950000	0.196158	0.195	0.195	-0.00593811	-5.12844e-07
1960000	0.197201	0.196	0.196	-0.00612762	-5.10228e-07
1970000	0.198244	0.197	0.197	-0.0063152	-5.07638e-07
1980000	0.199287	0.198	0.198	-0.00650089	-5.05074e-07
1990000	0.20033	0.199	0.199	-0.00668471	-5.02536e-07
2000000	0.201373	0.2	0.2	-0.00686669	-5.00024e-07
2010000	0.202416	0.201	0.201	-0.00704687	-4.97536e-07
2020000	0.20346	0.202	0.202	-0.00722525	-4.95073e-07
2030000	0.204503	0.203	0.203	-0.00740188	-4.92635e-07
2040000	0.205546	0.204	0.204	-0.00757678	-4.9022e-07
2050000	0.206589	0.205	0.205	-0.00774998	-4.87829e-07
2060000	0.207632	0.206	0.206	-0.00792149	-4.85461e-07
2070000	0.208675	0.207	0.207	-0.00809134	-4.83116e-07
2080000	0.209718	0.208	0.208	-0.00825956	-4.80793e-07
2090000	0.210761	0.209	0.209	-0.00842617	-4.78493e-07
2100000	0.211804	0.21	0.21	-0.0085912	-4.76214e-07
2110000	0.212847	0.211	0.211	-0.00875466	-4.73958e-07
2120000	0.21389	0.212	0.212	-0.00891658	-4.71722e-07
2130000	0.214933	0.213	0.213	-0.00907697	-4.69507e-07
2140000	0.215976	0.214	0.214	-0.00923587	-4.67314e-07
2150000	0.21702	0.215	0.215	-0.00939329	-4.6514e-07
2160000	0.218063	0.216	0.216	-0.00954926	-4.62987e-07
2170000	0.219106	0.217	0.217	-0.00970378	-4.60854e-07
2180000	0.220149	0.218	0.218	-0.00985689	-4.5874e-07
2190000	0.221192	0.219	0.219	-0.0100086	-4.56645e-07
2200000	0.222235	0.22	0.22	-0.0101589	-4.5457e-07
2210000	0.223278	0.221	0.221	-0.0103079	-4.52513e-07
2220000	0.224321	0.222	0.222	-0.0104555	-4.50475e-07
2230000	0.225364	0.223	0.223	-0.0106018	-4.48455e-07
2240000	0.226407	0.224	0.224	-0.0107468	-4.46453e-07
2250000	0.22745	0.225	0.225	-0.0108905	-4.44469e-07
2260000	0.228493	0.226	0.226	-0.011033	-4.42502e-07
2270000	0.229537	0.227	0.227	-0.0111742	-4.40553e-07
2280000	0.23058	0.228	0.228	-0.0113141	-4.38621e-07
2290000	0.231623	0.229	0.229	-0.0114528	-4.36705e-07
2300000	0.232666	0.23	0.23	-0.0115903	-4.34807e-07
2310000	0.233709	0.231	0.231	-0.0117267	-4.32925e-07
2320000	0.234752	0.232	0.232	-0.0118618	-4.31059e-07
2330000	0.235795	0.233	0.233	-0.0119958	-4.29209e-07
2340000	0.236838	0.234	0.234	-0.0121286	-4.27375e-07
2350000	0.237881	0.235	0.235	-0.0122604	-4.25556e-07
2360000	0.238924	0.236	0.236	-0.012391	-4.23753e-07
2370000	0.239967	0.237	0.237	-0.0125204	-4.21965e-07
2380000	0.24101	0.238	0.238	-0.0126489	-4.20192e-07
2390000	0.242054	0.239	0.239	-0.0127762	-4.18434e-07
2400000	0.243097	0.24	0.24	-0.0129025	-4.16691e-07
2410000	0.24414	0.241	0.241	-0.0130277	-4.14962e-07
2420000	0.245183	0.242	0.242	-0.0131519	-4.13248e-07
2430000	0.246226	0.243	0.243	-0.013275	-4.11547e-07
2440000	0.247269	0.244	0.244	-0.0133972	-4.09861e-07
2450000	0.248312	0.245	0.245	-0.0135184	-4.08188e-07
2460000	0.249355	0.246	0.246	-0.0136385	-4.06529e-07
2470000	0.250341	0.247	0.247	-0.0135274	-4.04883e-07
2480000	0.251235	0.248	0.248	-0.0130457	-4.0325e-07
2490000	0.252129	0.249	0.249	-0.0125679	-4.01631e-07
2500000	0.253023	0.25	0.25	-0.0120939	-4.00025e-07
2510000	0.253918	0.251	0.251	-0.0116237	-3.98431e-07
2520000	0.254812	0.252	0.252	-0.0111572	-3.9685e-07
2530000	0.255706	0.253	0.253	-0.0106944	-3.95282e-07
2540000	0.2566	0.254	0.254	-0.0102353	-3.93725e-07
2550000	0.257494	0.255	0.255	-0.0097797	-3.92182e-07
2560000	0.258388	0.256	0.256	-0.00932771	-3.9065e-07
2570000	0.259282	0.257	0.257	-0.00887923	-3.8913e-07
2580000	0.260176	0.258	0.258	-0.00843424	-3.87622e-07
2590000	0.26107	0.259	0.259	-0.00799267	-3.86125e-07
2600000	0.261964	0.26	0.26	-0.00755451	-3.8464e-07
2610000	0.262858	0.261	0.261	-0.0071197	-3.83167e-07
2620000	0.263752	0.262	0.262	-0.00668821	-3.81704e-07
2630000	0.264646	0.263	0.263	-0.00626	-3.80253e-07
2640000	0.26554	0.264	0.264	-0.00583504	-3.78813e-07
2650000	0.266435	0.265	0.265	-0.00541328	-3.77383e-07
2660000	0.267329	0.266	0.266	-0.0049947	-3.75965e-07
2670000	0.268223	0.267	0.267	-0.00457925	-3.74557e-07
2680000	0.269117	0.268	0.268	-0.0041669	-3.73159e-07
2690000	0.270011	0.269	0.269	-0.00375762	-3.71772e-07
2700000	0.270905	0.27	0.27	-0.00335137	-3.70395e-07
2710000	0.271799	0.271	0.271	-0.00294811	-3.69029e-07
2720000	0.272693	0.272	0.272	-0.00254782	-3.67672e-07
2730000	0.273587	0.273	0.273	-0.00215047	-3.66325e-07
2740000	0.274481	0.274	0.274	-0.00175601	-3.64989e-07
2750000	0.275375	0.275	0.275	-0.00136443	-3.63661e-07
2760000	0.276269	0.276	0.276	-0.000975677	-3.62344e-07
2770000	0.277163	0.277	0.277	-0.000589735	-3.61036e-07
2780000	0.278057	0.278	0.278	-0.000206569	-3.59737e-07
2790000	0.278951	0.279	0.279	0.00017385	-3.58448e-07
2800000	0.279846	0.28	0.28	0.000551552	-3.57168e-07
2810000	0.28074	0.281	0.281	0.000926565	-3.55897e-07
2820000	0.281634	0.282	0.282	0.00129892	-3.54635e-07
2830000	0.282528	0.283	0.283	0.00166864	-3.53382e-07
2840000	0.283422	0.284	0.284	0.00203576	-3.52138e-07
2850000	0.284316	0.285	0.285	0.0024003	-3.50902e-07
2860000	0.28521	0.286	0.286	0.0027623	-3.49676e-07
2870000	0.286104	0.287	0.287	0.00312177	-3.48457e-07
2880000	0.286998	0.288	0.288	0.00347874	-3.47247e-07
2890000	0.287892	0.289	0.289	0.00383324	-3.46046e-07
2900000	0.288786	0.29	0.29	0.0041853	-3.44853e-07
2910000	0.28968	0.291	0.291	0.00453494	-3.43668e-07
2920000	0.290574	0.292	0.292	0.00488219	-3.42491e-07
2930000	0.291468	0.293	0.293	0.00522706	-3.41322e-07
2940000	0.292363	0.294	0.294	0.00556959	-3.40161e-07
2950000	0.293257	0.295	0.295	0.00590979	-3.39008e-07
2960000	0.294151	0.296	0.296	0.0062477	-3.37863e-07
2970000	0.295045	0.297	0.297	0.00658333	-3.36726e-07
2980000	0.295939	0.298	0.298	0.00691671	-3.35596e-07
2990000	0.296833	0.299	0.299	0.00724786	-3.34473e-07
3000000	0.297727	0.3	0.3	0.0075768	-3.33359e-07
3010000	0.298621	0.301	0.301	0.00790356	-3.32251e-07
3020000	0.299515	0.302	0.302	0.00822815	-3.31151e-07
3030000	0.300409	0.303	0.303	0.0085506	-3.30058e-07
3040000	0.301303	0.304	0.304	0.00887093	-3.28973e-07
3050000	0.302197	0.305	0.305	0.00918916	-3.27894e-07
3060000	0.303091	0.306	0.306	0.0095053	-3.26823e-07
3070000	0.303985	0.307	0.307	0.00981939	-3.25758e-07
3080000	0.30488	0.308	0.308	0.0101314	-3.24701e-07
3090000	0.305774	0.309	0.309	0.0104415	-3.2365e-07
3100000	0.306668	0.31	0.31	0.0107495	-3.22606e-07
3110000	0.307562	0.311	0.311	0.0110555	-3.21569e-07
3120000	0.308456	0.312	0.312	0.0113596	-3.20538e-07
3130000	0.30935	0.313	0.313	0.0116618	-3.19514e-07
3140000	0.310244	0.314	0.314	0.011962	-3.18497e-07
3150000	0.311138	0.315	0.315	0.0122603	-3.17486e-07
3160000	0.312032	0.316	0.316	0.0125567	-3.16481e-07
3170000	0.312926	0.317	0.317	0.0128513	-3.15483e-07
3180000	0.31382	0.318	0.318	0.013144	-3.14491e-07
3190000	0.314714	0.319	0.319	0.0134349	-3.13505e-07
3200000	0.315608	0.32	0.32	0.0137239	-3.12526e-07
3210000	0.316502	0.321	0.321	0.0140111	-3.11552e-07
3220000	0.317396	0.322	0.322	0.0142966	-3.10585e-07
3230000	0.318291	0.323	0.323	0.0145803	-3.09623e-07
3240000	0.319185	0.324	0.324	0.0148622	-3.08668e-07
3250000	0.320079	0.325	0.325	0.0151425	-3.07718e-07
3260000	0.320973	0.326	0.326	0.0154209	-3.06774e-07
3270000	0.321867	0.327	0.327	0.0156977	-3.05836e-07
3280000	0.322761	0.328	0.328	0.0159728	-3.04904e-07
3290000	0.323655	0.329	0.329	0.0162463	-3.03977e-07
3300000	0.324549	0.33	0.33	0.016518	-3.03056e-07
3310000	0.325443	0.331	0.331	0.0167882	-3.0214e-07
3320000	0.326337	0.332	0.332	0.0170567	-3.0123e-07
3330000	0.327231	0.333	0.333	0.0173235	-3.00326e-07
3340000	0.328125	0.334	0.334	0.0175888	-2.99427e-07
3350000	0.329019	0.335	0.335	0.0178525	-2.98533e-07
3360000	0.329913	0.336	0.336	0.0181147	-2.97645e-07
3370000	0.330808	0.337	0.337	0.0183753	-2.96762e-07
3380000	0.331702	0.338	0.338	0.0186343	-2.95884e-07
3390000	0.332596	0.339	0.339	0.0188918	-2.95011e-07
3400000	0.33349	0.34	0.34	0.0191478	-2.94143e-07
3410000	0.334384	0.341	0.341	0.0194023	-2.93281e-07
3420000	0.335278	0.342	0.342	0.0196553	-2.92423e-07
3430000	0.336172	0.343	0.343	0.0199068	-2.91571e-07
3440000	0.337066	0.344	0.344	0.0201569	-2.90723e-07
3450000	0.33796	0.345	0.345	0.0204055	-2.89881e-07
3460000	0.338854	0.346	0.346	0.0206527	-2.89043e-07
3470000	0.339748	0.347	0.347	0.0208985	-2.8821e-07
3480000	0.340642	0.348	0.348	0.0211428	-2.87382e-07
3490000	0.341536	0.349	0.349	0.0213858	-2.86559e-07
3500000	0.34243	0.35	0.35	0.0216273	-2.8574e-07
3510000	0.343325	0.351	0.351	0.0218675	-2.84926e-07
3520000	0.344219	0.352	0.352	0.0221063	-2.84117e-07
3530000	0.345113	0.353	0.353	0.0223438	-2.83312e-07
3540000	0.346007	0.354	0.354	0.0225799	-2.82512e-07
3550000	0.346901	0.355	0.355	0.0228147	-2.81716e-07
